Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1840406959
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
137000	-7.885742	383	9.555544	9.847777	0.370872	0.629128	0.675036	0.324964	0.053660	0.946340	
138000	-7.882067	174	16.352412	13.484179	0.429395	0.570605	0.814250	0.185750	0.007868	0.992132	
139000	-8.197444	233	1.366188	4.313242	0.010013	0.989987	0.941116	0.058884	0.000606	0.999394	
140000	-8.788304	298	11.785423	3.277489	0.408401	0.591599	0.990761	0.009239	0.102052	0.897948	
141000	-8.631895	193	19.072235	17.110576	0.467692	0.532308	0.925490	0.074510	0.071962	0.928038	
142000	-7.940401	124	5.226781	1.510542	0.225114	0.774886	0.997329	0.002671	0.013677	0.986323	
143000	-8.301106	225	1.687656	2.132280	0.046337	0.953663	0.986615	0.013385	0.000955	0.999045	
144000	-8.028945	451	11.358702	5.828586	0.353789	0.646211	0.945127	0.054873	0.086265	0.913735	
145000	-8.220582	386	3.123966	10.466368	0.065980	0.934020	--	--	0.004099	0.995901	
146000	-8.215409	92	5.033711	2.215503	0.104111	0.895889	0.997366	0.002634	0.018762	0.981238	
147000	-9.476634	102	3.816250	17.310095	0.155924	0.844076	0.694601	0.305399	0.005930	0.994070	
148000	-7.752188	157	6.603787	7.783789	0.324294	0.675706	--	--	0.016771	0.983229	
149000	-9.536969	441	5.689071	15.346484	0.264383	0.735617	0.922065	0.077935	0.014161	0.985839	
150000	-8.173981	61	7.866948	4.351711	0.201268	0.798732	0.977743	0.022257	0.022497	0.977503	
151000	-8.047288	427	4.353119	5.759282	0.139038	0.860962	0.950023	0.049977	0.009277	0.990723	
152000	-9.703239	446	6.730547	21.308523	0.318436	0.681564	0.889102	0.110898	0.042856	0.957144	
153000	-8.404645	152	4.950060	8.216337	0.177209	0.822791	0.903009	0.096991	0.021741	0.978259	
154000	-8.940639	24	15.284354	6.539609	0.457456	0.542544	0.966387	0.033613	0.092324	0.907676	
155000	-8.178323	6	8.757512	3.593208	0.291313	0.708687	0.908719	0.091281	0.010414	0.989586	
156000	-7.280039	283	5.037352	3.979424	0.137994	0.862006	--	--	0.016958	0.983042	
157000	-8.452321	345	13.820446	15.081506	0.440072	0.559928	0.757413	0.242587	0.131153	0.868847	
158000	-8.083862	132	12.913639	4.846369	0.378254	0.621746	0.996307	0.003693	0.020087	0.979913	
159000	-8.820773	334	0.628545	8.016291	0.002884	0.997116	--	--	0.000095	0.999905	
160000	-8.367386	318	5.323924	6.713675	0.128559	0.871441	0.595882	0.404118	0.026268	0.973732	
161000	-8.598065	318	6.022958	11.129115	0.163501	0.836499	0.509173	0.490827	0.036646	0.963354	
162000	-7.771439	132	7.038031	3.715859	0.235179	0.764821	0.997238	0.002762	0.006234	0.993766	
163000	-8.044403	420	9.136855	2.704729	0.396407	0.603593	0.994941	0.005059	0.036564	0.963436	
164000	-9.636349	469	0.723325	11.475205	0.004332	0.995668	0.510497	0.489503	0.000363	0.999637	
165000	-7.873127	258	8.746064	4.490195	0.284183	0.715817	--	--	0.021168	0.978832	
166000	-7.962701	224	7.816066	15.353097	0.251442	0.748558	0.971947	0.028053	0.010449	0.989551	
167000	-8.242920	24	6.919680	8.919530	0.347051	0.652949	0.909714	0.090286	0.028104	0.971896	
168000	-7.479273	134	7.629261	5.599175	0.295862	0.704138	0.813417	0.186583	0.010840	0.989160	
169000	-7.626153	125	5.833428	7.117742	0.262572	0.737428	--	--	0.003834	0.996166	
170000	-7.982939	280	4.533476	4.621438	0.138526	0.861474	0.798801	0.201199	0.013829	0.986171	
171000	-8.301880	487	1.798541	3.607272	0.037083	0.962917	0.948412	0.051588	0.001659	0.998341	
172000	-8.259277	346	13.212890	3.624397	0.409808	0.590192	0.931097	0.068903	0.077734	0.922266	
173000	-8.339164	301	3.514311	5.375225	0.117850	0.882150	--	--	0.001774	0.998226	
174000	-7.832151	334	2.453664	5.713346	0.038335	0.961665	--	--	0.001375	0.998625	
175000	-8.017946	352	9.101145	5.052566	0.362246	0.637754	--	--	0.060435	0.939565	
176000	-8.246699	287	16.078348	9.243617	0.408914	0.591086	--	--	0.098432	0.901568	
177000	-7.904585	390	2.102440	4.977452	0.059271	0.940729	0.953782	0.046218	0.003821	0.996179	
178000	-7.952304	45	3.795982	6.767171	0.096069	0.903931	--	--	0.010581	0.989419	
179000	-8.162235	200	7.290499	2.191920	0.297056	0.702944	0.997744	0.002256	0.008083	0.991917	
180000	-8.384288	396	7.511954	12.816325	0.359878	0.640122	--	--	0.028554	0.971446	
181000	-8.834756	108	1.375708	2.397521	0.026999	0.973001	0.938024	0.061976	0.000902	0.999098	
182000	-7.894591	79	15.842152	16.449274	0.429789	0.570211	0.926512	0.073488	0.061026	0.938974	
183000	-8.896733	315	12.742894	19.524624	0.436983	0.563017	--	--	0.076586	0.923414	
184000	-8.626822	17	5.922714	4.650611	0.180964	0.819036	--	--	0.013010	0.986990	
185000	-8.154997	368	14.513585	11.752928	0.399071	0.600929	--	--	0.107105	0.892895	
186000	-8.991768	496	0.962800	5.558735	0.006613	0.993387	0.252338	0.747662	0.000710	0.999290	
187000	-7.586080	313	8.091287	10.065185	0.233366	0.766634	--	--	0.034437	0.965563	
