Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1107730964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
165000	-7.750579	18	12.138311	6.128690	0.293943	0.706057	0.834771	0.165229	0.030886	0.969114	
166000	-7.555555	447	9.001799	11.345243	0.227560	0.772440	0.835213	0.164787	0.037586	0.962414	
167000	-7.657543	270	5.301747	8.863091	0.214926	0.785074	--	--	0.004479	0.995521	
168000	-8.003408	53	3.933648	6.902627	0.106168	0.893832	0.957825	0.042175	0.027087	0.972913	
169000	-7.492635	181	11.050535	7.224101	0.309869	0.690131	0.921332	0.078668	0.042373	0.957627	
170000	-8.112445	462	1.417923	4.772329	0.013061	0.986939	--	--	0.001410	0.998590	
171000	-7.548949	63	9.918517	11.142086	0.263748	0.736252	0.968842	0.031158	0.035812	0.964188	
172000	-7.618456	421	3.726411	3.201862	0.115386	0.884614	0.987759	0.012241	0.005327	0.994673	
173000	-8.009565	466	10.345993	8.677308	0.356994	0.643006	0.932414	0.067586	0.021436	0.978564	
174000	-8.394062	257	3.328368	10.053587	0.119901	0.880099	--	--	0.003136	0.996864	
175000	-8.498066	176	14.542475	14.160017	0.393438	0.606562	--	--	0.086003	0.913997	
176000	-8.794914	485	17.689341	23.004367	0.481386	0.518614	--	--	0.070381	0.929619	
177000	-10.259991	153	9.407105	0.752615	0.567981	0.432019	--	--	0.035115	0.964885	
178000	-7.432599	12	1.684399	4.100023	0.027668	0.972332	0.783315	0.216685	0.000107	0.999893	
179000	-7.684524	233	6.115688	3.301929	0.189707	0.810293	0.988192	0.011808	0.010805	0.989195	
180000	-8.498485	183	11.262242	11.379738	0.331638	0.668362	--	--	0.110305	0.889695	
181000	-8.477523	180	13.535699	14.718957	0.419257	0.580743	0.841843	0.158157	0.030480	0.969520	
182000	-7.388210	18	5.135371	9.718339	0.113796	0.886204	0.640728	0.359272	0.006754	0.993246	
183000	-8.470327	440	12.132576	14.538869	0.427604	0.572396	0.833503	0.166497	0.080356	0.919644	
184000	-7.957359	462	9.302164	6.222713	0.278256	0.721744	--	--	0.052884	0.947116	
185000	-7.418200	296	8.548015	8.495361	0.326550	0.673450	--	--	0.015502	0.984498	
186000	-8.954887	236	7.155319	16.490579	0.361372	0.638628	0.706023	0.293977	0.030532	0.969468	
187000	-8.545146	30	0.657853	2.323252	0.004176	0.995824	--	--	0.000287	0.999713	
188000	-9.283764	330	2.263628	1.263655	0.110565	0.889435	0.795013	0.204987	0.000242	0.999758	
189000	-8.890020	383	5.469026	14.132234	0.281064	0.718936	0.485990	0.514010	0.021932	0.978068	
190000	-8.527757	45	9.761855	15.526175	0.350279	0.649721	--	--	0.070733	0.929267	
191000	-8.059530	364	4.789086	3.544629	0.134462	0.865538	0.821269	0.178731	0.043474	0.956526	
192000	-7.398752	124	6.476454	3.584379	0.256667	0.743333	0.987746	0.012254	0.021463	0.978537	
