Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            371628164
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
177000	-7.371555	480	6.558586	4.694711	0.249815	0.750185	0.990279	0.009721	0.003628	0.996372	
178000	-8.477366	327	12.483049	14.167127	0.419732	0.580268	--	--	0.080583	0.919417	
179000	-8.309762	87	7.252403	3.970624	0.267185	0.732815	0.986303	0.013697	0.010683	0.989317	
180000	-8.750878	102	0.535655	5.143299	0.001877	0.998123	0.738487	0.261513	0.000100	0.999900	
181000	-7.804333	195	0.959791	4.471351	0.006157	0.993843	--	--	0.000575	0.999425	
182000	-12.119730	393	19.385651	0.894523	0.560791	0.439209	0.999301	0.000699	0.112343	0.887657	
183000	-8.187061	81	9.475847	8.245785	0.347635	0.652365	--	--	0.084084	0.915916	
184000	-7.803245	239	4.669897	3.950588	0.203348	0.796652	0.993746	0.006254	0.006271	0.993729	
185000	-8.788659	279	8.787685	12.307303	0.392270	0.607730	0.858734	0.141266	0.038448	0.961552	
186000	-8.882116	205	6.286603	16.508987	0.322026	0.677974	0.619587	0.380413	0.026141	0.973859	
187000	-8.169586	149	3.001715	3.963578	0.034845	0.965155	0.970488	0.029512	0.006837	0.993163	
188000	-8.206991	223	5.951759	11.867367	0.210816	0.789184	0.582689	0.417311	0.018755	0.981245	
189000	-8.081860	168	4.725036	8.024406	0.246776	0.753224	--	--	0.005595	0.994405	
190000	-7.910608	448	5.103248	4.966482	0.250053	0.749947	--	--	0.006884	0.993116	
191000	-7.362517	296	8.337754	6.303286	0.307211	0.692789	--	--	0.014356	0.985644	
192000	-9.212852	265	1.236499	9.018755	0.021280	0.978720	--	--	0.001863	0.998137	
193000	-8.751773	137	1.353119	2.857865	0.016435	0.983565	0.626930	0.373070	0.001772	0.998228	
194000	-7.255244	79	10.229501	5.894462	0.341966	0.658034	0.985049	0.014951	0.024902	0.975098	
195000	-9.112259	168	9.592036	20.109167	0.458846	0.541154	--	--	0.027008	0.972992	
196000	-7.430539	278	2.722455	5.924655	0.063330	0.936670	0.984311	0.015689	0.002068	0.997932	
197000	-9.300546	289	9.655635	19.484635	0.410405	0.589595	--	--	0.053957	0.946043	
198000	-7.989071	384	10.704990	5.383708	0.353431	0.646569	0.973282	0.026718	0.073819	0.926181	
199000	-8.069815	154	7.587946	5.749862	0.289899	0.710101	--	--	0.010620	0.989380	
200000	-11.042815	65	10.306101	34.167217	0.450223	0.549777	0.771634	0.228366	0.224104	0.775896	
201000	-7.605101	107	10.103655	7.250916	0.370972	0.629028	0.879968	0.120032	0.042413	0.957587	
202000	-8.838941	340	3.133938	7.423561	0.128368	0.871632	0.716277	0.283723	0.003292	0.996708	
203000	-7.589480	93	2.584608	4.618660	0.052001	0.947999	0.825393	0.174607	0.002746	0.997254	
204000	-8.196959	64	5.896133	2.254919	0.214051	0.785949	0.992986	0.007014	0.024680	0.975320	
205000	-8.053060	75	2.882095	3.639951	0.089102	0.910898	--	--	0.004337	0.995663	
206000	-8.139933	356	7.858044	3.881205	0.365681	0.634319	0.977831	0.022169	0.072611	0.927389	
207000	-9.117104	253	17.384987	4.950468	0.424115	0.575885	0.979602	0.020398	0.081967	0.918033	
208000	-7.896389	384	4.571943	7.434699	0.157669	0.842331	0.918140	0.081860	0.018071	0.981929	
209000	-7.581568	431	4.451236	8.182524	0.129259	0.870741	0.962768	0.037232	0.005056	0.994944	
210000	-7.912656	326	5.625373	10.992652	0.170647	0.829353	--	--	0.003537	0.996463	
211000	-7.472150	233	7.995205	6.124352	0.236637	0.763363	0.968325	0.031675	0.018914	0.981086	
212000	-9.264484	222	1.198409	1.804193	0.008679	0.991321	0.817786	0.182214	0.000264	0.999736	
213000	-8.142661	424	13.258863	8.906754	0.420767	0.579233	--	--	0.168033	0.831967	
214000	-8.362844	53	14.286622	7.965726	0.397607	0.602393	0.975888	0.024112	0.194288	0.805712	
215000	-7.943306	344	14.474992	7.762439	0.369322	0.630678	0.830319	0.169681	0.065963	0.934037	
216000	-7.902035	208	8.068356	9.574186	0.372277	0.627723	--	--	0.036698	0.963302	
217000	-8.249540	71	2.370386	4.640021	0.065665	0.934335	--	--	0.001979	0.998021	
218000	-8.164352	139	4.062478	9.676501	0.174873	0.825127	--	--	0.011223	0.988777	
219000	-9.165583	49	8.033899	23.468835	0.315180	0.684820	--	--	0.047292	0.952708	
220000	-7.763926	302	10.426188	5.805720	0.295763	0.704237	--	--	0.019389	0.980611	
221000	-10.397463	368	1.959758	17.170603	0.055485	0.944515	--	--	0.003368	0.996632	
222000	-8.731741	175	3.705858	9.909313	0.164453	0.835547	0.522795	0.477205	0.014719	0.985281	
223000	-7.722138	265	11.045164	10.072639	0.391096	0.608904	--	--	0.085487	0.914513	
224000	-7.599845	377	7.228471	7.486620	0.268346	0.731654	--	--	0.000947	0.999053	
225000	-8.909689	320	8.103678	0.276675	0.792511	0.207489	--	--	0.043661	0.956339	
