Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3674852225
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
110000	-41.699726	74	1.095413	4.932190	2.510658	1.031292	0.493024	0.014562	0.478288	0.014126	
111000	-41.647327	161	0.507660	0.804738	4.434438	4.431089	0.603185	0.365537	0.019475	0.011802	
112000	-40.306010	97	0.612941	4.011711	3.933793	3.040830	0.413250	0.139744	0.334046	0.112960	
113000	-41.961060	305	0.424648	2.895600	3.160574	2.540211	0.602941	0.079433	0.280651	0.036974	
114000	-39.688202	359	0.640542	2.515466	3.504451	3.040959	0.608634	0.190841	0.152659	0.047867	
115000	-42.446249	186	1.422320	3.044500	3.147261	3.658889	0.551090	0.254392	0.133085	0.061434	
116000	-42.609383	187	0.336355	3.919964	5.680798	5.508970	0.270436	0.168501	0.345679	0.215383	
117000	-41.764235	349	0.467051	4.015640	3.235848	2.029527	0.262881	0.035553	0.617987	0.083580	
118000	-40.534841	68	2.049317	4.592889	1.988114	1.545143	0.810135	0.015568	0.171012	0.003286	
119000	-46.856720	387	3.454083	2.291053	2.560086	1.391243	0.791956	0.078204	0.118171	0.011669	
120000	-42.769404	433	1.582074	3.609321	5.172726	1.418251	0.597612	0.061223	0.309462	0.031703	
121000	-41.942892	395	1.030225	1.970699	3.916285	1.650172	0.699233	0.143233	0.130751	0.026783	
122000	-41.131146	481	0.165986	4.878044	2.376252	1.843139	0.092912	0.008237	0.825654	0.073197	
123000	-43.606989	317	1.614151	3.693308	3.905948	3.665105	0.425678	0.221097	0.232477	0.120748	
124000	-39.666692	97	1.242253	1.554036	3.895200	2.230155	0.794649	0.152414	0.044418	0.008519	
125000	-42.278739	26	1.614309	4.493521	5.222859	4.802320	0.432625	0.229815	0.220453	0.117107	
126000	-40.236790	312	1.714325	5.276136	3.252964	2.166511	0.570117	0.092841	0.289842	0.047200	
127000	-39.701293	43	1.915447	2.127597	4.464004	3.124755	0.699665	0.211190	0.068475	0.020669	
128000	-42.658794	26	2.724651	2.807415	3.116083	4.058631	0.558801	0.284865	0.103547	0.052786	
129000	-42.713540	146	0.697208	4.392695	1.891847	5.501719	0.161575	0.241417	0.239364	0.357645	
130000	-45.635637	74	0.490309	0.940742	9.469696	4.563229	0.591389	0.381814	0.016283	0.010513	
131000	-43.286337	478	0.923946	7.159730	4.317538	5.003822	0.245182	0.148916	0.376952	0.228950	
132000	-41.712497	111	0.820127	1.346537	3.051948	0.476713	0.926237	0.007348	0.065892	0.000523	
133000	-45.143665	340	1.641764	4.431023	3.701120	7.824790	0.347120	0.307310	0.183296	0.162275	
134000	-42.533958	189	0.565090	0.266321	4.014843	4.625034	0.635797	0.362855	0.000858	0.000490	
135000	-41.402007	264	1.184632	3.140373	1.037540	3.242254	0.243968	0.406186	0.131279	0.218568	
136000	-43.449225	92	2.822848	3.825379	2.972398	1.007404	0.681551	0.027601	0.279528	0.011320	
137000	-43.454963	466	2.150565	4.924781	4.487045	0.094125	0.615100	0.000111	0.384719	0.000069	
138000	-43.225699	265	1.695770	1.310275	3.211104	3.080915	0.696810	0.264721	0.027879	0.010591	
139000	-44.198268	466	3.499152	3.068135	3.477571	1.150396	0.772230	0.024877	0.196561	0.006332	
140000	-43.956479	352	0.949691	5.484385	4.140245	6.040310	0.349929	0.212577	0.272160	0.165334	
141000	-40.000649	208	1.448476	2.853396	2.070497	2.163681	0.566173	0.199632	0.173144	0.061051	
142000	-47.793631	330	0.843951	1.233377	0.478264	6.782896	0.115239	0.834730	0.006069	0.043962	
143000	-41.912181	267	1.959734	4.186468	2.477798	2.348974	0.504240	0.127393	0.294071	0.074295	
144000	-41.581404	312	2.476506	3.281295	1.257233	1.410367	0.690759	0.146954	0.133818	0.028469	
145000	-42.382137	42	2.402991	6.403881	3.122464	2.302016	0.427399	0.106540	0.373065	0.092996	
146000	-41.969895	69	0.797646	2.489555	3.541465	6.303858	0.370054	0.326159	0.161470	0.142317	
147000	-43.466626	102	0.706011	3.387025	4.240233	0.742324	0.613008	0.012793	0.366549	0.007650	
148000	-41.596217	203	1.161097	2.977750	1.736513	2.654871	0.592913	0.186261	0.168037	0.052788	
149000	-42.522374	92	1.383943	2.050712	4.665179	5.179145	0.519595	0.359750	0.071293	0.049361	
150000	-43.194959	116	1.597851	2.786943	1.184173	4.314457	0.234470	0.499040	0.085185	0.181306	
151000	-42.303568	117	0.477232	1.058674	3.399911	0.263713	0.889288	0.005295	0.104794	0.000624	
152000	-41.531937	185	0.706626	1.742945	3.018997	4.197127	0.537767	0.333563	0.079413	0.049258	
153000	-41.203105	117	0.828967	5.201219	2.954720	1.279292	0.360703	0.057704	0.501382	0.080210	
154000	-40.721766	414	0.598014	1.710079	3.072077	1.282948	0.959990	0.014627	0.025002	0.000381	
