Default schedule
Rate	71.43
CV	28.57
Rate Tried	% Accepted	CV Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
126	0.174603	74	0.540541	0.814570	200	0.310000	0.310000	0.267799	
192	0.229167	108	0.537037	0.814570	300	0.340000	0.340000	0.268483	
266	0.248120	134	0.559701	0.814570	400	0.352500	0.352500	0.269110	
336	0.238095	164	0.500000	0.814570	500	0.324000	0.324000	0.268807	
411	0.231144	189	0.502646	0.814570	600	0.316667	0.316667	0.268864	
482	0.232365	218	0.486239	0.814570	700	0.311429	0.311429	0.268920	
554	0.236462	246	0.483740	0.814570	800	0.312500	0.312500	0.269178	
622	0.242765	278	0.482014	0.814570	900	0.316667	0.316667	0.269584	
687	0.241630	313	0.492013	0.814570	1000	0.320000	0.320000	0.269987	
71	0.338028	29	0.448276	0.814570	100	0.370000	0.370000	0.270484	
146	0.321918	54	0.407407	0.814570	200	0.345000	0.345000	0.270729	
218	0.311927	82	0.426829	0.814570	300	0.343333	0.343333	0.271070	
285	0.343860	115	0.382609	0.814570	400	0.355000	0.355000	0.271653	
366	0.336066	134	0.395522	0.814570	500	0.352000	0.352000	0.271987	
440	0.320455	160	0.381250	0.814570	600	0.336667	0.336667	0.271929	
513	0.298246	187	0.406417	0.814570	700	0.327143	0.327143	0.271919	
579	0.300518	221	0.416290	0.814570	800	0.332500	0.332500	0.272391	
653	0.294028	247	0.433198	0.814570	900	0.332222	0.332222	0.272666	
729	0.285322	271	0.431734	0.814570	1000	0.325000	0.325000	0.272606	
67	0.253731	33	0.363636	0.814570	100	0.290000	0.290000	0.272688	
134	0.253731	66	0.378788	0.814570	200	0.295000	0.295000	0.272817	
215	0.241860	85	0.447059	0.814570	300	0.300000	0.300000	0.272992	
284	0.232394	116	0.491379	0.814570	400	0.307500	0.307500	0.273258	
356	0.238764	144	0.472222	0.814570	500	0.306000	0.306000	0.273383	
424	0.268868	176	0.471591	0.814570	600	0.328333	0.328333	0.274154	
485	0.278351	215	0.455814	0.814570	700	0.332857	0.332857	0.274550	
563	0.278863	237	0.459916	0.814570	800	0.332500	0.332500	0.274804	
637	0.270016	263	0.460076	0.814570	900	0.325556	0.325556	0.274782	
707	0.268741	293	0.467577	0.814570	1000	0.327000	0.327000	0.275078	
76	0.144737	24	0.333333	0.814570	100	0.190000	0.190000	0.274693	
149	0.208054	51	0.470588	0.814570	200	0.275000	0.275000	0.275078	
223	0.215247	77	0.519481	0.814570	300	0.293333	0.293333	0.275324	
288	0.229167	112	0.517857	0.814570	400	0.310000	0.310000	0.275702	
360	0.225000	140	0.542857	0.814570	500	0.314000	0.314000	0.275943	
