Options:
Model:                           MultiState
Tree File Name:                  Bird.trees
Data File Name:                  BirdTerritory.txt
Log File Name:                   BirdTerritory_covarionON_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3092223893
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      200500
Burn in:                         500
MCMC ML Start:                   False
Schedule File:                   BirdTerritory_covarionON_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       5669
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q10	Covar On to Off	 Covar Off to On	Root P(0)	Root P(1)	
17400	-1769.057341	1	24.921957	32.453740	9.234588	9.234588	0.651812	0.348188	
17500	-1769.200819	1	24.990426	35.547606	11.079017	11.079017	0.628136	0.371864	
17600	-1770.098848	1	23.867272	49.079408	9.963655	9.963655	0.495706	0.504294	
17700	-1768.788446	1	23.737527	36.268399	10.758705	10.758705	0.606252	0.393748	
17800	-1769.430133	1	21.720942	38.350791	8.577825	8.577825	0.569395	0.430605	
17900	-1772.067676	1	24.658333	25.277175	9.404968	9.404968	0.737526	0.262474	
18000	-1772.249810	1	23.237871	57.213371	10.170706	10.170706	0.412702	0.587298	
18100	-1768.909555	1	23.193885	34.770239	10.589754	10.589754	0.615282	0.384718	
18200	-1769.914334	1	22.393490	34.906726	7.574160	7.574160	0.607942	0.392058	
18300	-1769.399028	1	21.850055	33.443260	10.382114	10.382114	0.613790	0.386210	
18400	-1769.593942	1	23.678960	31.692010	10.673863	10.673863	0.653479	0.346521	
18500	-1769.705001	1	26.739989	36.288460	8.815748	8.815748	0.630314	0.369686	
18600	-1771.420698	1	12.256142	75.617737	16.929796	16.929796	0.005524	0.994476	
18700	-1772.314922	1	18.932057	82.412156	17.345658	17.345658	0.027844	0.972156	
18800	-1770.953873	1	23.516105	34.074819	12.637770	12.637770	0.628335	0.371665	
18900	-1769.191440	1	22.650713	34.596509	10.846040	10.846040	0.610602	0.389398	
19000	-1771.282209	1	23.634205	49.064613	8.798991	8.798991	0.506038	0.493962	
19100	-1768.830616	1	25.375478	37.588010	10.450512	10.450512	0.611293	0.388707	
19200	-1770.204181	1	24.178819	36.319825	12.434871	12.434871	0.611140	0.388860	
19300	-1769.388582	1	24.521052	36.566543	11.612654	11.612654	0.612605	0.387395	
19400	-1770.741346	1	26.177214	29.745778	10.608505	10.608505	0.711117	0.288883	
19500	-1772.809137	1	27.384633	25.732785	8.763667	8.763667	0.770592	0.229408	
19600	-1772.171999	1	18.538168	35.977853	10.933030	10.933030	0.509394	0.490606	
19700	-1769.456625	1	25.158607	44.367678	9.601855	9.601855	0.554351	0.445649	
19800	-1770.123887	1	26.529082	42.265360	12.141905	12.141905	0.580792	0.419208	
19900	-1770.367417	1	22.081199	51.536513	11.271126	11.271126	0.411048	0.588952	
20000	-1768.542361	1	23.862923	38.587444	9.662363	9.662363	0.587470	0.412530	
20100	-1768.844222	1	24.042201	42.861586	10.691645	10.691645	0.547090	0.452910	
20200	-1769.373040	1	25.428226	42.094890	9.238101	9.238101	0.575375	0.424625	
20300	-1770.512805	1	21.509421	49.680807	10.235898	10.235898	0.433079	0.566921	
20400	-1770.257112	1	13.290384	88.823071	16.933823	16.933823	0.003743	0.996257	
20500	-1769.107719	1	25.828339	36.237280	10.588885	10.588885	0.629232	0.370768	
20600	-1769.108070	1	23.922242	44.820763	10.271365	10.271365	0.530425	0.469575	
20700	-1773.491551	1	24.723339	27.873722	12.474030	12.474030	0.732953	0.267047	
20800	-1773.127781	1	20.727085	25.303519	9.424929	9.424929	0.693656	0.306344	
20900	-1773.219319	1	17.015696	75.964536	19.019104	19.019104	0.022426	0.977574	
21000	-1769.198095	1	23.233037	31.307291	9.663526	9.663526	0.649708	0.350292	
21100	-1770.009376	1	22.177625	49.205236	11.855024	11.855024	0.428277	0.571723	
21200	-1771.955560	1	21.582409	27.503070	6.812242	6.812242	0.665643	0.334357	
21300	-1773.927610	1	24.310480	42.405948	15.665902	15.665902	0.532709	0.467291	
21400	-1768.969146	1	22.052633	35.775242	10.346548	10.346548	0.591484	0.408516	
21500	-1772.688346	1	11.955856	70.859436	15.056561	15.056561	0.008232	0.991768	
21600	-1770.466442	1	15.329593	81.584998	16.118622	16.118622	0.011872	0.988128	
21700	-1772.009365	1	27.866795	52.310840	12.562890	12.562890	0.508381	0.491619	
21800	-1769.308970	1	25.710413	43.263523	11.181312	11.181312	0.563282	0.436718	
21900	-1769.662478	1	23.055684	39.421982	8.172037	8.172037	0.576859	0.423141	
22000	-1769.589470	1	23.668630	43.027329	8.860875	8.860875	0.552005	0.447995	
22100	-1768.777856	1	22.097708	36.818422	9.619287	9.619287	0.583882	0.416118	
22200	-1769.927484	1	26.818769	32.034714	9.512163	9.512163	0.678506	0.321494	
22300	-1768.638834	1	24.852710	36.552721	9.945446	9.945446	0.614978	0.385022	
22400	-1773.777598	1	21.921931	27.096387	11.970470	11.970470	0.694835	0.305165	
22500	-1769.952893	1	23.414631	42.705225	12.736030	12.736030	0.524555	0.475445	
22600	-1770.473181	1	23.627852	51.157043	12.663898	12.663898	0.434418	0.565582	
22700	-1768.912047	1	23.300722	37.476153	11.111536	11.111536	0.588064	0.411936	
22800	-1773.808759	1	17.994172	49.460883	14.728192	14.728192	0.241133	0.758867	
22900	-1770.378251	1	26.318608	48.651372	11.894390	11.894390	0.520764	0.479236	
23000	-1768.850360	1	24.679145	34.828449	10.377933	10.377933	0.630348	0.369652	
23100	-1771.024673	1	22.867818	42.815517	7.815906	7.815906	0.551024	0.448976	
23200	-1770.374802	1	22.547952	38.601241	12.773764	12.773764	0.557215	0.442785	
23300	-1769.574355	1	22.593386	45.252252	9.633423	9.633423	0.510453	0.489547	
23400	-1771.418277	1	23.716361	46.942199	14.134701	14.134701	0.468604	0.531396	
23500	-1768.916478	1	22.162447	35.171935	10.148513	10.148513	0.599685	0.400315	
23600	-1771.478341	1	13.802000	93.813784	15.077250	15.077250	0.003885	0.996115	
23700	-1770.901363	1	21.938002	54.413276	12.355675	12.355675	0.358738	0.641262	
23800	-1770.630303	1	12.045590	88.963211	16.251207	16.251207	0.002436	0.997564	
23900	-1772.282643	1	12.880733	72.836675	13.980922	13.980922	0.012125	0.987875	
24000	-1770.683283	1	28.806522	40.784232	10.279452	10.279452	0.617706	0.382294	
24100	-1769.449752	1	21.583439	41.346619	11.433990	11.433990	0.512005	0.487995	
24200	-1770.453797	1	20.530645	30.555614	9.161498	9.161498	0.631186	0.368814	
24300	-1771.953202	1	19.539581	28.707826	8.506455	8.506455	0.641532	0.358468	
24400	-1769.964362	1	23.728471	50.290787	11.338157	11.338157	0.464042	0.535958	
24500	-1770.716075	1	12.657072	85.421074	15.043612	15.043612	0.004130	0.995870	
24600	-1771.198254	1	19.917228	31.751088	10.356329	10.356329	0.607541	0.392459	
24700	-1773.037746	1	9.144672	83.547564	18.187538	18.187538	0.001000	0.999000	
24800	-1770.274608	1	13.721925	89.018319	17.219746	17.219746	0.004236	0.995764	
24900	-1770.602864	1	12.045871	85.884297	15.717012	15.717012	0.002984	0.997016	
25000	-1771.479630	1	15.319788	88.054286	14.143907	14.143907	0.010199	0.989801	
25100	-1770.258626	1	14.448265	82.666412	15.988802	15.988802	0.008457	0.991543	
25200	-1773.600346	1	15.761177	63.163807	14.280275	14.280275	0.087822	0.912178	
25300	-1771.990613	1	23.168380	50.511280	14.607244	14.607244	0.403450	0.596550	
25400	-1769.428954	1	26.259779	36.358770	10.923087	10.923087	0.634113	0.365887	
25500	-1770.514256	1	20.719791	35.634676	7.694342	7.694342	0.586280	0.413720	
25600	-1771.210413	1	23.836009	28.641945	7.038765	7.038765	0.668248	0.331752	
25700	-1770.143971	1	24.200008	29.787083	7.748638	7.748638	0.663808	0.336192	
25800	-1770.460737	1	21.707933	49.952046	12.583929	12.583929	0.393675	0.606325	
25900	-1770.229669	1	13.206762	86.074928	17.355887	17.355887	0.004131	0.995869	
26000	-1771.148681	1	24.017878	50.826642	13.626812	13.626812	0.435820	0.564180	
26100	-1773.207871	1	19.023406	78.767077	18.203924	18.203924	0.033974	0.966026	
26200	-1772.441198	1	18.650981	80.311890	13.957797	13.957797	0.047055	0.952945	
26300	-1771.202572	1	13.950594	89.944643	19.267931	19.267931	0.004133	0.995867	
26400	-1771.225709	1	16.368491	86.036881	18.235513	18.235513	0.010642	0.989358	
26500	-1772.425064	1	18.418751	48.563968	13.198921	13.198921	0.285387	0.714613	
26600	-1770.186947	1	23.620107	48.731144	12.659203	12.659203	0.460674	0.539326	
26700	-1769.961118	1	26.286841	32.964107	10.866623	10.866623	0.672250	0.327750	
26800	-1770.476776	1	24.331083	47.786388	9.152620	9.152620	0.521816	0.478184	
